Comment,Designator,Footprint,LCSC
"0.1uF","C1,C3","Capacitor_SMD:C_0805_2012Metric",""
"4.7 nF","C12","Capacitor_SMD:C_0805_2012Metric",""
"150 uF","C2,C4,C9","Capacitor_SMD:C_Elec_10x10.2",""
"10 uF","C5","Capacitor_SMD:C_Elec_10x10.2",""
"0.1 uF","C6,C7,C10,C11","Capacitor_SMD:C_0402_1005Metric",""
"1 nF","C8","Capacitor_SMD:C_0805_2012Metric",""
"Input Protection","D1","Diode_THT:D_5W_P12.70mm_Horizontal",""
"Power","D2","LED_SMD:LED_0805_2012Metric",""
"MultiplexConn","J1,J3","MedidoFootprints:MultiplexConn",""
"Fwd/Off/Rev","J20","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Hall Sensor","J21","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Press_Sens","J23","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Flow_Sensor","J24","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"PwrButton","J25","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"I2C","J26","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"JPF","JP1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"Q_PMOS_GDS","Q1","Package_TO_SOT_THT:TO-220-3_Vertical",""
"2N3904","Q2","Package_TO_SOT_THT:TO-126-3_Vertical",""
"100K","R1,R2","Resistor_SMD:R_0805_2012Metric",""
"330R","R10","Resistor_SMD:R_0805_2012Metric",""
"2K2","R15,R16","Resistor_SMD:R_0805_2012Metric",""
"3K3","R18","Resistor_SMD:R_0805_2012Metric",""
"33K","R21","Resistor_SMD:R_0805_2012Metric",""
"10K","R3,R5,R6,R9,R13,R14,R17,R19","Resistor_SMD:R_0805_2012Metric",""
"1K","R4,R11,R12","Resistor_SMD:R_0805_2012Metric",""
"22K","R7,R20","Resistor_SMD:R_0805_2012Metric",""
"6K8","R8","Resistor_SMD:R_0805_2012Metric",""
"SW_DPST","SW1","MedidoFootprints:SmallSlider",""
"On/Off","SW2","Button_Switch_THT:SW_PUSH_6mm",""
"Pressure Limit","SW3","Rotary_Encoder:RotaryEncoder_Bourns_Vertical_PEC12R-3x17F-Sxxxx",""
"40106","U1","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C38184"
"SEEED Xiao ESP32 C3","U2","Aviator:SeeedS3",""
"IFX9201","U3","MedidoFootprints:CONV_IFX9201SGAUMA1",""
"LM7805_TO220","U4","Package_TO_SOT_THT:TO-220-3_Vertical",""
"ADS_1015","U5","Package_SO:VSSOP-10_3x3mm_P0.5mm","C701606"
"SSD1305 OLED","U6","MedidoFootprints:SSD1305_OLED",""
"MCP23008-xSO","U7","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","C92253"
"MPRL Pressure","U8","MedidoFootprints:HoneywellMPRL",""